X,Figure1E,Figure2C,Figure2D,Figure2H,Figure4B,genes,sc_w3_w4,mouse
ENSG00000109339,NA,NA,NA,1,NA,MAPK10,expressed,NA
ENSG00000109472,NA,NA,NA,1,Cluster 1,CPE,expressed,NA
ENSG00000109991,NA,NA,NA,1,Cluster 1,P2RX3,expressed,NA
ENSG00000110786,NA,NA,NA,1,NA,PTPN5,expressed,NA
ENSG00000114854,NA,NA,NA,1,NA,TNNC1,expressed,NA
ENSG00000115758,NA,NA,NA,1,NA,ODC1,expressed,NA
ENSG00000116990,NA,NA,NA,1,NA,MYCL,expressed,NA
ENSG00000122378,NA,NA,NA,1,NA,PRXL2A,NA,NA
ENSG00000122644,NA,NA,NA,1,NA,ARL4A,expressed,NA
ENSG00000125945,NA,NA,NA,1,NA,ZNF436,expressed,NA
ENSG00000127418,NA,NA,NA,1,Cluster 1,FGFRL1,expressed,NA
ENSG00000130449,NA,NA,NA,1,NA,ZSWIM6,expressed,NA
ENSG00000131378,NA,NA,NA,1,NA,RFTN1,expressed,NA
ENSG00000132970,NA,NA,NA,1,NA,WASF3,expressed,NA
ENSG00000134250,NA,NA,NA,1,Cluster 2,NOTCH2,expressed,NA
ENSG00000135299,NA,NA,NA,1,NA,ANKRD6,expressed,NA
ENSG00000136040,NA,NA,NA,1,NA,PLXNC1,expressed,NA
ENSG00000136383,NA,NA,NA,1,Cluster 1,ALPK3,expressed,NA
ENSG00000137834,NA,NA,NA,1,NA,SMAD6,expressed,NA
ENSG00000137936,NA,NA,NA,1,NA,BCAR3,expressed,NA
ENSG00000138764,NA,NA,NA,1,NA,CCNG2,expressed,NA
ENSG00000140416,NA,NA,NA,1,Cluster 2,TPM1,expressed,NA
ENSG00000141642,NA,NA,NA,1,NA,ELAC1,expressed,NA
ENSG00000141837,NA,NA,NA,1,NA,CACNA1A,expressed,NA
ENSG00000143507,NA,NA,NA,1,NA,DUSP10,expressed,NA
ENSG00000144218,NA,NA,NA,1,NA,AFF3,expressed,NA
ENSG00000145365,NA,NA,NA,1,Cluster 2,TIFA,expressed,NA
ENSG00000145555,NA,NA,NA,1,NA,MYO10,expressed,NA
ENSG00000145730,NA,NA,NA,1,NA,PAM,expressed,NA
ENSG00000148180,NA,NA,NA,1,NA,GSN,expressed,NA
ENSG00000148541,NA,NA,NA,1,NA,FAM13C,expressed,NA
ENSG00000149289,NA,NA,NA,1,Cluster 1,ZC3H12C,expressed,NA
ENSG00000150687,NA,NA,NA,1,Cluster 2,PRSS23,expressed,NA
ENSG00000151376,NA,NA,NA,1,Cluster 2,ME3,expressed,NA
ENSG00000151778,NA,NA,NA,1,NA,SERP2,expressed,NA
ENSG00000151948,NA,NA,NA,1,NA,GLT1D1,expressed,NA
ENSG00000152092,NA,NA,NA,1,NA,ASTN1,expressed,NA
ENSG00000154265,NA,NA,NA,1,NA,ABCA5,expressed,NA
ENSG00000154447,NA,NA,NA,1,Cluster 2,SH3RF1,expressed,NA
ENSG00000157570,NA,NA,NA,1,NA,TSPAN18,expressed,NA
ENSG00000162373,NA,NA,NA,1,NA,BEND5,expressed,NA
ENSG00000163297,NA,NA,NA,1,NA,ANTXR2,expressed,NA
ENSG00000165240,NA,NA,NA,1,NA,ATP7A,expressed,NA
ENSG00000165443,NA,NA,NA,1,Cluster 2,PHYHIPL,expressed,NA
ENSG00000165730,NA,NA,NA,1,NA,STOX1,expressed,NA
ENSG00000166257,NA,NA,NA,1,NA,SCN3B,expressed,NA
ENSG00000169554,NA,NA,NA,1,NA,ZEB2,expressed,NA
ENSG00000170390,NA,NA,NA,1,NA,DCLK2,expressed,NA
ENSG00000170537,NA,NA,NA,1,NA,TMC7,expressed,NA
ENSG00000173114,NA,NA,NA,1,NA,LRRN3,expressed,NA
ENSG00000175155,NA,NA,NA,1,NA,YPEL2,expressed,NA
ENSG00000175505,NA,NA,NA,1,NA,CLCF1,expressed,NA
ENSG00000176428,NA,NA,NA,1,NA,VPS37D,expressed,NA
ENSG00000179241,NA,NA,NA,1,NA,LDLRAD3,expressed,NA
ENSG00000180537,NA,NA,NA,1,NA,RNF182,expressed,NA
ENSG00000181754,NA,NA,NA,1,NA,AMIGO1,expressed,NA
ENSG00000182175,NA,NA,NA,1,Cluster 1,RGMA,expressed,tested
ENSG00000183496,NA,NA,NA,1,Cluster 1,MEX3B,expressed,NA
ENSG00000185201,NA,NA,NA,1,NA,IFITM2,expressed,NA
ENSG00000185737,NA,NA,NA,1,NA,NRG3,expressed,NA
ENSG00000187091,NA,NA,NA,1,NA,PLCD1,expressed,NA
ENSG00000196814,NA,NA,NA,1,NA,MVB12B,expressed,NA
ENSG00000197054,NA,NA,NA,1,NA,ZNF763,expressed,NA
ENSG00000198932,NA,NA,NA,1,NA,GPRASP1,expressed,NA
ENSG00000203952,NA,NA,NA,1,NA,CCDC160,expressed,NA
ENSG00000204065,NA,NA,NA,1,NA,TCEAL5,expressed,NA
ENSG00000234031,NA,NA,NA,1,NA,RPS3AP44,NA,NA
ENSG00000237149,NA,NA,NA,1,NA,ZNF503-AS2,NA,NA
ENSG00000241163,NA,NA,NA,1,NA,LINC00877,expressed,NA
ENSG00000266970,NA,NA,NA,1,NA,SOCS3-DT,NA,NA
ENSG00000267221,NA,NA,NA,1,NA,C17orf113,NA,NA
ENSG00000270629,NA,NA,NA,1,NA,NBPF14,expressed,NA
ENSG00000005059,NA,NA,NA,2,NA,MCUB,NA,NA
ENSG00000054392,NA,NA,NA,2,NA,HHAT,expressed,NA
ENSG00000057294,NA,NA,NA,2,NA,PKP2,expressed,NA
ENSG00000103528,NA,NA,NA,2,NA,SYT17,expressed,NA
ENSG00000107984,NA,NA,NA,2,NA,DKK1,expressed,NA
ENSG00000109814,NA,NA,NA,2,NA,UGDH,expressed,NA
ENSG00000120327,NA,NA,NA,2,NA,PCDHB14,expressed,NA
ENSG00000122042,NA,NA,NA,2,Cluster 1,UBL3,expressed,NA
ENSG00000122432,NA,NA,NA,2,NA,SPATA1,NA,NA
ENSG00000128596,NA,NA,NA,2,NA,CCDC136,expressed,NA
ENSG00000130940,NA,NA,NA,2,Cluster 1,CASZ1,expressed,NA
ENSG00000133466,NA,NA,NA,2,NA,C1QTNF6,expressed,NA
ENSG00000133639,NA,NA,NA,2,NA,BTG1,expressed,NA
ENSG00000134595,NA,NA,NA,2,NA,SOX3,expressed,NA
ENSG00000138675,NA,NA,NA,2,NA,FGF5,expressed,NA
ENSG00000139318,NA,NA,NA,2,NA,DUSP6,expressed,NA
ENSG00000141449,NA,NA,NA,2,Cluster 2,GREB1L,expressed,NA
ENSG00000143850,NA,NA,NA,2,NA,PLEKHA6,expressed,NA
ENSG00000148082,NA,NA,NA,2,NA,SHC3,expressed,NA
ENSG00000154153,NA,NA,NA,2,Cluster 1,RETREG1,NA,NA
ENSG00000160097,NA,NA,NA,2,NA,FNDC5,expressed,NA
ENSG00000162999,NA,NA,NA,2,NA,DUSP19,expressed,NA
ENSG00000166922,NA,NA,NA,2,NA,SCG5,expressed,NA
ENSG00000180592,NA,NA,NA,2,NA,SKIDA1,expressed,NA
ENSG00000184226,NA,NA,NA,2,Cluster 2,PCDH9,expressed,NA
ENSG00000184985,NA,NA,NA,2,NA,SORCS2,expressed,NA
ENSG00000185565,NA,NA,NA,2,NA,LSAMP,expressed,NA
ENSG00000223573,NA,NA,NA,2,NA,TINCR,expressed,NA
ENSG00000225614,NA,NA,NA,2,NA,ZNF469,expressed,NA
ENSG00000228784,NA,NA,NA,2,NA,LINC00954,expressed,NA
ENSG00000239697,NA,NA,NA,2,Cluster 1,TNFSF12,expressed,NA
ENSG00000254389,NA,NA,NA,2,NA,RHPN1-AS1,expressed,NA
ENSG00000263874,NA,NA,NA,2,NA,LASP1NB,NA,NA
ENSG00000272970,NA,NA,NA,2,NA,LOC107986163,NA,NA
ENSG00000001617,NA,NA,NA,NA,Cluster 2,SEMA3F,expressed,NA
ENSG00000002834,NA,NA,NA,NA,Cluster 1,LASP1,expressed,NA
ENSG00000005156,NA,NA,NA,NA,Cluster 2,LIG3,expressed,NA
ENSG00000006638,NA,NA,NA,NA,Cluster 1,TBXA2R,NA,NA
ENSG00000006715,NA,NA,NA,NA,Cluster 1,VPS41,expressed,NA
ENSG00000007944,NA,NA,NA,NA,Cluster 2,MYLIP,expressed,NA
ENSG00000007952,NA,NA,NA,NA,Cluster 1,NOX1,NA,NA
ENSG00000009413,NA,NA,NA,NA,Cluster 2,REV3L,expressed,NA
ENSG00000009844,NA,NA,NA,NA,Cluster 1,VTA1,expressed,NA
ENSG00000010292,NA,NA,NA,NA,Cluster 2,NCAPD2,expressed,NA
ENSG00000011009,NA,NA,NA,NA,Cluster 1,LYPLA2,expressed,NA
ENSG00000011021,NA,NA,NA,NA,Cluster 2,CLCN6,expressed,NA
ENSG00000013810,NA,NA,NA,NA,Cluster 2,TACC3,expressed,NA
ENSG00000018189,NA,NA,NA,NA,Cluster 2,RUFY3,expressed,NA
ENSG00000018236,NA,NA,NA,NA,Cluster 1,CNTN1,expressed,NA
ENSG00000019995,NA,NA,NA,NA,Cluster 2,ZRANB1,expressed,NA
ENSG00000023608,NA,NA,NA,NA,Cluster 2,SNAPC1,expressed,NA
ENSG00000025039,NA,NA,NA,NA,Cluster 1,RRAGD,expressed,NA
ENSG00000025708,NA,NA,NA,NA,Cluster 1,TYMP,expressed,NA
ENSG00000028528,NA,NA,NA,NA,Cluster 1,SNX1,expressed,NA
ENSG00000031823,NA,NA,NA,NA,Cluster 1,RANBP3,expressed,NA
ENSG00000032742,NA,NA,NA,NA,Cluster 1,IFT88,expressed,NA
ENSG00000034239,NA,NA,NA,NA,Cluster 1,CLXN,NA,NA
ENSG00000034510,NA,NA,NA,NA,Cluster 2,TMSB10,expressed,NA
ENSG00000038002,NA,NA,NA,NA,Cluster 1,AGA,expressed,NA
ENSG00000040341,NA,NA,NA,NA,Cluster 1,STAU2,expressed,NA
ENSG00000040731,NA,NA,NA,NA,Cluster 1,CDH10,expressed,NA
ENSG00000047365,NA,NA,NA,NA,Cluster 2,ARAP2,expressed,NA
ENSG00000047662,NA,NA,NA,NA,Cluster 2,FAM184B,expressed,NA
ENSG00000050165,NA,NA,NA,NA,Cluster 1,DKK3,expressed,NA
ENSG00000050405,NA,NA,NA,NA,Cluster 2,LIMA1,expressed,NA
ENSG00000050767,NA,NA,NA,NA,Cluster 1,COL23A1,expressed,NA
ENSG00000051108,NA,NA,NA,NA,Cluster 2,HERPUD1,expressed,NA
ENSG00000054267,NA,NA,NA,NA,Cluster 2,ARID4B,expressed,NA
ENSG00000054690,NA,NA,NA,NA,Cluster 1,PLEKHH1,expressed,NA
ENSG00000055609,NA,NA,NA,NA,Cluster 2,KMT2C,expressed,NA
ENSG00000057608,NA,NA,NA,NA,Cluster 1,GDI2,expressed,NA
ENSG00000058262,NA,NA,NA,NA,Cluster 2,SEC61A1,expressed,NA
ENSG00000058404,NA,NA,NA,NA,Cluster 1,CAMK2B,expressed,NA
ENSG00000058668,NA,NA,NA,NA,Cluster 1,ATP2B4,expressed,NA
ENSG00000059691,NA,NA,NA,NA,Cluster 1,GATB,NA,NA
ENSG00000060138,NA,NA,NA,NA,Cluster 2,YBX3,expressed,NA
ENSG00000060339,NA,NA,NA,NA,Cluster 2,CCAR1,expressed,NA
ENSG00000060982,NA,NA,NA,NA,Cluster 2,BCAT1,expressed,NA
ENSG00000065357,NA,NA,NA,NA,Cluster 2,DGKA,expressed,NA
ENSG00000065534,NA,NA,NA,NA,Cluster 2,MYLK,expressed,NA
ENSG00000065548,NA,NA,NA,NA,Cluster 2,ZC3H15,expressed,NA
ENSG00000066933,NA,NA,NA,NA,Cluster 2,MYO9A,expressed,NA
ENSG00000067057,NA,NA,NA,NA,Cluster 2,PFKP,expressed,NA
ENSG00000067064,NA,NA,NA,NA,Cluster 2,IDI1,expressed,NA
ENSG00000068078,NA,NA,NA,NA,Cluster 1,FGFR3,expressed,NA
ENSG00000068323,NA,NA,NA,NA,Cluster 2,TFE3,expressed,NA
ENSG00000068489,NA,NA,NA,NA,Cluster 2,PRR11,expressed,NA
ENSG00000069966,NA,NA,NA,NA,Cluster 2,GNB5,expressed,NA
ENSG00000072042,NA,NA,NA,NA,Cluster 2,RDH11,expressed,NA
ENSG00000072571,NA,NA,NA,NA,Cluster 2,HMMR,expressed,NA
ENSG00000073067,NA,NA,NA,NA,Cluster 2,CYP2W1,expressed,NA
ENSG00000073712,NA,NA,NA,NA,Cluster 2,FERMT2,expressed,NA
ENSG00000076003,NA,NA,NA,NA,Cluster 1,MCM6,expressed,NA
ENSG00000078549,NA,NA,NA,NA,Cluster 1,ADCYAP1R1,expressed,NA
ENSG00000078795,NA,NA,NA,NA,Cluster 1,PKD2L2,expressed,NA
ENSG00000079308,NA,NA,NA,NA,Cluster 1,TNS1,expressed,NA
ENSG00000079459,NA,NA,NA,NA,Cluster 2,FDFT1,expressed,NA
ENSG00000080166,NA,NA,NA,NA,Cluster 2,DCT,expressed,NA
ENSG00000080561,NA,NA,NA,NA,Cluster 2,MID2,expressed,NA
ENSG00000080644,NA,NA,NA,NA,Cluster 1,CHRNA3,expressed,NA
ENSG00000081692,NA,NA,NA,NA,Cluster 1,JMJD4,expressed,NA
ENSG00000083720,NA,NA,NA,NA,Cluster 1,OXCT1,expressed,NA
ENSG00000083838,NA,NA,NA,NA,Cluster 1,ZNF446,expressed,NA
ENSG00000084234,NA,NA,NA,NA,Cluster 2,APLP2,expressed,NA
ENSG00000084734,NA,NA,NA,NA,Cluster 2,GCKR,NA,NA
ENSG00000086062,NA,NA,NA,NA,Cluster 2,B4GALT1,expressed,NA
ENSG00000086717,NA,NA,NA,NA,Cluster 2,PPEF1,expressed,NA
ENSG00000087077,NA,NA,NA,NA,Cluster 2,TRIP6,expressed,NA
ENSG00000087263,NA,NA,NA,NA,Cluster 2,OGFOD1,expressed,NA
ENSG00000089101,NA,NA,NA,NA,Cluster 1,CFAP61,NA,NA
ENSG00000089351,NA,NA,NA,NA,Cluster 2,GRAMD1A,expressed,NA
ENSG00000089847,NA,NA,NA,NA,Cluster 1,ANKRD24,expressed,NA
ENSG00000090006,NA,NA,NA,NA,Cluster 2,LTBP4,expressed,NA
ENSG00000090581,NA,NA,NA,NA,Cluster 1,GNPTG,expressed,NA
ENSG00000090861,NA,NA,NA,NA,Cluster 2,AARS1,NA,NA
ENSG00000090932,NA,NA,NA,NA,Cluster 1,DLL3,expressed,NA
ENSG00000091137,NA,NA,NA,NA,Cluster 1,SLC26A4,expressed,NA
ENSG00000091164,NA,NA,NA,NA,Cluster 1,TXNL1,expressed,NA
ENSG00000091527,NA,NA,NA,NA,Cluster 2,CDV3,expressed,NA
ENSG00000091844,NA,NA,NA,NA,Cluster 2,RGS17,expressed,NA
ENSG00000092108,NA,NA,NA,NA,Cluster 2,SCFD1,expressed,NA
ENSG00000092140,NA,NA,NA,NA,Cluster 2,G2E3,expressed,NA
ENSG00000092964,NA,NA,NA,NA,Cluster 1,DPYSL2,expressed,NA
ENSG00000099338,NA,NA,NA,NA,Cluster 1,CATSPERG,expressed,NA
ENSG00000099725,NA,NA,NA,NA,Cluster 2,PRKY,NA,NA
ENSG00000099812,NA,NA,NA,NA,Cluster 2,MISP,expressed,NA
ENSG00000100078,NA,NA,NA,NA,Cluster 2,PLA2G3,expressed,NA
ENSG00000100105,NA,NA,NA,NA,Cluster 1,PATZ1,expressed,NA
ENSG00000100191,NA,NA,NA,NA,Cluster 2,SLC5A4,NA,NA
ENSG00000100219,NA,NA,NA,NA,Cluster 2,XBP1,expressed,NA
ENSG00000100320,NA,NA,NA,NA,Cluster 2,RBFOX2,expressed,NA
ENSG00000100354,NA,NA,NA,NA,Cluster 1,TNRC6B,expressed,NA
ENSG00000100364,NA,NA,NA,NA,Cluster 1,KIAA0930,expressed,NA
ENSG00000100504,NA,NA,NA,NA,Cluster 2,PYGL,expressed,NA
ENSG00000100522,NA,NA,NA,NA,Cluster 2,GNPNAT1,expressed,NA
ENSG00000100599,NA,NA,NA,NA,Cluster 1,RIN3,expressed,NA
ENSG00000100614,NA,NA,NA,NA,Cluster 2,PPM1A,expressed,NA
ENSG00000100625,NA,NA,NA,NA,Cluster 2,SIX4,expressed,NA
ENSG00000100664,NA,NA,NA,NA,Cluster 1,EIF5,expressed,NA
ENSG00000100823,NA,NA,NA,NA,Cluster 1,APEX1,expressed,NA
ENSG00000100934,NA,NA,NA,NA,Cluster 2,SEC23A,expressed,NA
ENSG00000100991,NA,NA,NA,NA,Cluster 2,TRPC4AP,expressed,NA
ENSG00000101182,NA,NA,NA,NA,Cluster 1,PSMA7,expressed,NA
ENSG00000101220,NA,NA,NA,NA,Cluster 1,ADISSP,NA,NA
ENSG00000101255,NA,NA,NA,NA,Cluster 2,TRIB3,expressed,NA
ENSG00000101670,NA,NA,NA,NA,Cluster 2,LIPG,expressed,NA
ENSG00000101843,NA,NA,NA,NA,Cluster 2,PSMD10,expressed,NA
ENSG00000101955,NA,NA,NA,NA,Cluster 2,SRPX,expressed,NA
ENSG00000102290,NA,NA,NA,NA,Cluster 2,PCDH11X,expressed,NA
ENSG00000102317,NA,NA,NA,NA,Cluster 1,RBM3,expressed,NA
ENSG00000102401,NA,NA,NA,NA,Cluster 2,ARMCX3,expressed,NA
ENSG00000102547,NA,NA,NA,NA,Cluster 2,CAB39L,expressed,NA
ENSG00000103005,NA,NA,NA,NA,Cluster 1,USB1,expressed,NA
ENSG00000103042,NA,NA,NA,NA,Cluster 1,SLC38A7,expressed,NA
ENSG00000103154,NA,NA,NA,NA,Cluster 2,NECAB2,expressed,NA
ENSG00000103160,NA,NA,NA,NA,Cluster 1,HSDL1,expressed,NA
ENSG00000103942,NA,NA,NA,NA,Cluster 2,HOMER2,expressed,NA
ENSG00000103966,NA,NA,NA,NA,Cluster 2,EHD4,expressed,NA
ENSG00000103994,NA,NA,NA,NA,Cluster 2,ZNF106,expressed,NA
ENSG00000103995,NA,NA,NA,NA,Cluster 2,CEP152,expressed,NA
ENSG00000105258,NA,NA,NA,NA,Cluster 1,POLR2I,expressed,NA
ENSG00000105376,NA,NA,NA,NA,Cluster 2,ICAM5,expressed,NA
ENSG00000105516,NA,NA,NA,NA,Cluster 2,DBP,expressed,NA
ENSG00000105668,NA,NA,NA,NA,Cluster 2,UPK1A,expressed,NA
ENSG00000105784,NA,NA,NA,NA,Cluster 2,RUNDC3B,expressed,NA
ENSG00000105829,NA,NA,NA,NA,Cluster 2,BET1,expressed,NA
ENSG00000105877,NA,NA,NA,NA,Cluster 2,DNAH11,expressed,NA
ENSG00000105939,NA,NA,NA,NA,Cluster 2,ZC3HAV1,expressed,NA
ENSG00000106049,NA,NA,NA,NA,Cluster 2,HIBADH,expressed,NA
ENSG00000106123,NA,NA,NA,NA,Cluster 1,EPHB6,expressed,NA
ENSG00000106125,NA,NA,NA,NA,Cluster 1,MINDY4,NA,NA
ENSG00000106211,NA,NA,NA,NA,Cluster 2,HSPB1,expressed,NA
ENSG00000106236,NA,NA,NA,NA,Cluster 1,NPTX2,expressed,NA
ENSG00000106290,NA,NA,NA,NA,Cluster 1,TAF6,expressed,NA
ENSG00000106336,NA,NA,NA,NA,Cluster 2,FBXO24,expressed,NA
ENSG00000106537,NA,NA,NA,NA,Cluster 1,TSPAN13,expressed,NA
ENSG00000106799,NA,NA,NA,NA,Cluster 1,TGFBR1,expressed,NA
ENSG00000107338,NA,NA,NA,NA,Cluster 1,SHB,expressed,NA
ENSG00000107679,NA,NA,NA,NA,Cluster 2,PLEKHA1,expressed,NA
ENSG00000107929,NA,NA,NA,NA,Cluster 2,LARP4B,expressed,NA
ENSG00000107949,NA,NA,NA,NA,Cluster 1,BCCIP,expressed,NA
ENSG00000108018,NA,NA,NA,NA,Cluster 2,SORCS1,expressed,NA
ENSG00000108106,NA,NA,NA,NA,Cluster 2,UBE2S,expressed,NA
ENSG00000108175,NA,NA,NA,NA,Cluster 1,ZMIZ1,expressed,NA
ENSG00000108828,NA,NA,NA,NA,Cluster 2,VAT1,expressed,NA
ENSG00000108840,NA,NA,NA,NA,Cluster 2,HDAC5,expressed,NA
ENSG00000108960,NA,NA,NA,NA,Cluster 1,MMD,expressed,NA
ENSG00000109062,NA,NA,NA,NA,Cluster 1,NHERF1,NA,NA
ENSG00000109107,NA,NA,NA,NA,Cluster 2,ALDOC,expressed,NA
ENSG00000109670,NA,NA,NA,NA,Cluster 2,FBXW7,expressed,NA
ENSG00000109758,NA,NA,NA,NA,Cluster 2,HGFAC,expressed,NA
ENSG00000109762,NA,NA,NA,NA,Cluster 1,SNX25,expressed,NA
ENSG00000109790,NA,NA,NA,NA,Cluster 1,KLHL5,expressed,NA
ENSG00000109854,NA,NA,NA,NA,Cluster 1,HTATIP2,expressed,NA
ENSG00000110195,NA,NA,NA,NA,Cluster 2,FOLR1,expressed,NA
ENSG00000110328,NA,NA,NA,NA,Cluster 1,GALNT18,expressed,NA
ENSG00000110583,NA,NA,NA,NA,Cluster 1,NAA40,expressed,NA
ENSG00000110799,NA,NA,NA,NA,Cluster 2,VWF,expressed,NA
ENSG00000110841,NA,NA,NA,NA,Cluster 2,PPFIBP1,expressed,NA
ENSG00000111011,NA,NA,NA,NA,Cluster 2,RSRC2,expressed,NA
ENSG00000111186,NA,NA,NA,NA,Cluster 2,WNT5B,expressed,NA
ENSG00000111261,NA,NA,NA,NA,Cluster 2,MANSC1,expressed,NA
ENSG00000111300,NA,NA,NA,NA,Cluster 2,NAA25,expressed,NA
ENSG00000111678,NA,NA,NA,NA,Cluster 2,C12orf57,expressed,NA
ENSG00000111799,NA,NA,NA,NA,Cluster 1,COL12A1,expressed,NA
ENSG00000111817,NA,NA,NA,NA,Cluster 2,DSE,expressed,NA
ENSG00000111981,NA,NA,NA,NA,Cluster 2,ULBP1,expressed,NA
ENSG00000112039,NA,NA,NA,NA,Cluster 1,FANCE,expressed,NA
ENSG00000112249,NA,NA,NA,NA,Cluster 2,ASCC3,expressed,NA
ENSG00000112378,NA,NA,NA,NA,Cluster 2,PERP,expressed,NA
ENSG00000112406,NA,NA,NA,NA,Cluster 2,HECA,expressed,NA
ENSG00000112531,NA,NA,NA,NA,Cluster 1,QKI,expressed,tested
ENSG00000112562,NA,NA,NA,NA,Cluster 1,SMOC2,expressed,NA
ENSG00000112658,NA,NA,NA,NA,Cluster 2,SRF,expressed,NA
ENSG00000112893,NA,NA,NA,NA,Cluster 2,MAN2A1,expressed,NA
ENSG00000112941,NA,NA,NA,NA,Cluster 2,TENT4A,NA,NA
ENSG00000112977,NA,NA,NA,NA,Cluster 2,DAP,expressed,NA
ENSG00000112984,NA,NA,NA,NA,Cluster 2,KIF20A,expressed,NA
ENSG00000113262,NA,NA,NA,NA,Cluster 1,GRM6,expressed,NA
ENSG00000113327,NA,NA,NA,NA,Cluster 1,GABRG2,expressed,NA
ENSG00000113522,NA,NA,NA,NA,Cluster 1,RAD50,expressed,NA
ENSG00000113719,NA,NA,NA,NA,Cluster 1,ERGIC1,expressed,NA
ENSG00000114374,NA,NA,NA,NA,Cluster 2,USP9Y,expressed,NA
ENSG00000114739,NA,NA,NA,NA,Cluster 1,ACVR2B,expressed,NA
ENSG00000115163,NA,NA,NA,NA,Cluster 2,CENPA,expressed,NA
ENSG00000115353,NA,NA,NA,NA,Cluster 1,TACR1,expressed,NA
ENSG00000115425,NA,NA,NA,NA,Cluster 2,PECR,expressed,NA
ENSG00000115520,NA,NA,NA,NA,Cluster 2,COQ10B,expressed,NA
ENSG00000115806,NA,NA,NA,NA,Cluster 2,GORASP2,expressed,NA
ENSG00000115970,NA,NA,NA,NA,Cluster 1,THADA,expressed,NA
ENSG00000116035,NA,NA,NA,NA,Cluster 2,VAX2,expressed,NA
ENSG00000116544,NA,NA,NA,NA,Cluster 2,DLGAP3,expressed,NA
ENSG00000116574,NA,NA,NA,NA,Cluster 2,RHOU,expressed,NA
ENSG00000116750,NA,NA,NA,NA,Cluster 2,UCHL5,expressed,NA
ENSG00000116783,NA,NA,NA,NA,Cluster 1,TNNI3K,expressed,NA
ENSG00000117322,NA,NA,NA,NA,Cluster 2,CR2,expressed,NA
ENSG00000117425,NA,NA,NA,NA,Cluster 1,PTCH2,expressed,NA
ENSG00000117519,NA,NA,NA,NA,Cluster 2,CNN3,expressed,NA
ENSG00000117569,NA,NA,NA,NA,Cluster 1,PTBP2,expressed,NA
ENSG00000117650,NA,NA,NA,NA,Cluster 2,NEK2,expressed,NA
ENSG00000117791,NA,NA,NA,NA,Cluster 1,MTARC2,NA,NA
ENSG00000117868,NA,NA,NA,NA,Cluster 2,ESYT2,expressed,NA
ENSG00000118058,NA,NA,NA,NA,Cluster 2,KMT2A,expressed,NA
ENSG00000118473,NA,NA,NA,NA,Cluster 2,SGIP1,expressed,NA
ENSG00000118690,NA,NA,NA,NA,Cluster 1,ARMC2,expressed,NA
ENSG00000119537,NA,NA,NA,NA,Cluster 2,KDSR,expressed,NA
ENSG00000119699,NA,NA,NA,NA,Cluster 1,TGFB3,expressed,NA
ENSG00000119777,NA,NA,NA,NA,Cluster 2,TMEM214,expressed,NA
ENSG00000119787,NA,NA,NA,NA,Cluster 2,ATL2,expressed,NA
ENSG00000119922,NA,NA,NA,NA,Cluster 2,IFIT2,expressed,NA
ENSG00000119953,NA,NA,NA,NA,Cluster 2,SMNDC1,expressed,NA
ENSG00000120332,NA,NA,NA,NA,Cluster 1,TNN,NA,NA
ENSG00000121903,NA,NA,NA,NA,Cluster 2,ZSCAN20,expressed,NA
ENSG00000122859,NA,NA,NA,NA,Cluster 1,NEUROG3,expressed,NA
ENSG00000123096,NA,NA,NA,NA,Cluster 1,SSPN,expressed,NA
ENSG00000123243,NA,NA,NA,NA,Cluster 1,ITIH5,expressed,NA
ENSG00000123411,NA,NA,NA,NA,Cluster 1,IKZF4,expressed,NA
ENSG00000123485,NA,NA,NA,NA,Cluster 2,HJURP,expressed,NA
ENSG00000123836,NA,NA,NA,NA,Cluster 2,PFKFB2,expressed,NA
ENSG00000124067,NA,NA,NA,NA,Cluster 2,SLC12A4,expressed,NA
ENSG00000124092,NA,NA,NA,NA,Cluster 1,CTCFL,expressed,NA
ENSG00000124151,NA,NA,NA,NA,Cluster 1,NCOA3,expressed,NA
ENSG00000124172,NA,NA,NA,NA,Cluster 2,ATP5F1E,NA,NA
ENSG00000124370,NA,NA,NA,NA,Cluster 2,MCEE,expressed,NA
ENSG00000124493,NA,NA,NA,NA,Cluster 1,GRM4,expressed,NA
ENSG00000124641,NA,NA,NA,NA,Cluster 2,MED20,expressed,NA
ENSG00000124787,NA,NA,NA,NA,Cluster 1,RPP40,expressed,NA
ENSG00000125257,NA,NA,NA,NA,Cluster 1,ABCC4,expressed,NA
ENSG00000125804,NA,NA,NA,NA,Cluster 1,FAM182A,NA,NA
ENSG00000125843,NA,NA,NA,NA,Cluster 1,AP5S1,expressed,NA
ENSG00000125844,NA,NA,NA,NA,Cluster 2,RRBP1,expressed,NA
ENSG00000125952,NA,NA,NA,NA,Cluster 2,MAX,expressed,NA
ENSG00000125995,NA,NA,NA,NA,Cluster 2,ROMO1,expressed,NA
ENSG00000126088,NA,NA,NA,NA,Cluster 1,UROD,expressed,NA
ENSG00000126461,NA,NA,NA,NA,Cluster 2,SCAF1,expressed,NA
ENSG00000126773,NA,NA,NA,NA,Cluster 1,PCNX4,NA,NA
ENSG00000126775,NA,NA,NA,NA,Cluster 1,ATG14,expressed,NA
ENSG00000126804,NA,NA,NA,NA,Cluster 1,ZBTB1,expressed,NA
ENSG00000126878,NA,NA,NA,NA,Cluster 1,AIF1L,expressed,NA
ENSG00000126947,NA,NA,NA,NA,Cluster 2,ARMCX1,expressed,NA
